Object;Region;Property;Min;Max;Mean;Std_dev;P10;P20;P30;P40;P50;P60;P70;P80;P90
SparseH1;everywhere;H_GemPy0.242_SparseH1_error (m);-0.03677185997366905;0.02482631243765354;-0.0002586084910118106;0.013987590447622317;-0.0186280008405447;-0.01340779103338718;-0.005137968715280295;-0.002310577337630092;0.0014946896699257195;0.004761082073673605;0.008946858718991276;0.010855725686997176;0.014494783431291585
SparseH1;everywhere;H_LoopStructuralFDI0.000_SparseH1_error (m);-0.09129729121923447;0.5113905072212219;0.11105498110621491;0.1378116113777927;0.007417035754770063;0.028189696744084357;0.037070988863706585;0.047060409933328634;0.07088634744286537;0.08816958218812943;0.12846202850341798;0.18015909194946295;0.3297740101814271
SparseH1;everywhere;H_LoopStructuralPLI0.000_SparseH1_error (m);-0.1090613454580307;0.3389105200767517;0.06237450338085182;0.08943058369796322;-0.01577001903206108;0.007260814611800023;0.029471240751445287;0.04079365320503712;0.045166535302996635;0.05759720690548419;0.07214794382452965;0.10749724060297014;0.19670543819665912
SparseH1;everywhere;H_MSSSparse_81x5x220.000_SparseH1_error (m);-0.010349936783313751;0.03672580048441887;-0.000985432862183767;0.007505194799217675;-0.008871032018214464;-0.00519911334849894;-0.0040253718383610245;-0.003137679677456617;-0.0017260903841815889;-0.0007814137788955129;0.000305986142484471;0.0024123774375766523;0.004803961375728251
SparseH1;everywhere;H_SIGMA_s100.000_SparseH1_error (m);-0.04487334191799164;0.1084633618593216;0.010667953992031637;0.03052803480693415;-0.012561302632093421;0.000024610900800326085;0.0032461394323036073;0.004520130110904575;0.005837949691340327;0.007637118920683861;0.009776620659977196;0.014355034101754427;0.05051244199275972
SparseH1;everywhere;H_SIGMA_s120.000_SparseH1_error (m);-0.04542923346161842;0.17185282707214355;0.013762354177081514;0.038258906339368494;-0.010982152167707673;0.0007940254465211184;0.0035038753878325222;0.0038926018401980404;0.00593951647169888;0.007800171757116913;0.009479652345180507;0.01554762804880739;0.049875744432210954
SparseH1;everywhere;H_SIGMA_s130.000_SparseH1_error (m);-0.05194397270679474;0.12816119194030762;0.014322098823454739;0.03775871795388146;-0.013155341520905483;0.0010056598053779457;0.0032096890499815345;0.005462279357016087;0.006727526197209954;0.007634054217487573;0.011091085430234668;0.02336173728108407;0.07010413333773616
SparseH1;everywhere;H_StructLab_Axis0.000_SparseH1_error (m);-0.008196328766644001;0.02523048035800457;0.0009634877243032944;0.004857827386499744;-0.002587390830740332;-0.00023568786127725613;-0.000019445281941443727;0.00013780043082078922;0.0002834950864780694;0.00044774639536626637;0.0005593166337348519;0.000875548791373149;0.0029289543163031374
SparseH1;everywhere;H_StructLab_Basic0.000_SparseH1_error (m);-0.004788270685821772;0.020493900403380394;0.0008432319729598186;0.0038398627054032635;-0.0013027505483478308;-0.0004321208980400114;-0.00015157141606323424;-0.00003316865368105924;0.00025837976863840595;0.0004176824819296598;0.0006726682942826298;0.0011944203055463734;0.0025198715506121534
SparseH1;everywhere;H_SurfE_MQ0.711_SparseH1_error (m);-0.003106367774307728;0.0042399270460009575;0.00026951941386373204;0.0012659818663850785;-0.0007793372904416173;-0.0005203213542699814;-0.00007261675418703819;0.00003768539536395114;0.00008809402424958535;0.00018187269306508825;0.0002741605800110846;0.0008219539071433249;0.0019422387355007233
SparseH1;everywhere;H_SurfE_R32.392_SparseH1_error (m);-0.00301225739531219;0.0038232526276260614;0.00024113185748898434;0.0011336359950555536;-0.0006904964859131723;-0.00024280958314193407;-0.00006899785948917271;-0.000040841474219632696;0.00018429810734232888;0.00026469535951036957;0.00032183712173718956;0.00040835342661011987;0.0011059125652536762
SparseH2;everywhere;H_GemPy0.232_SparseH2_error (m);-0.014614701271057129;0.04850850626826286;0.0016711288442448095;0.010889836668927448;-0.009853408113121987;-0.007298713037744164;-0.0049933337606489665;-0.0017504567746073005;0.0020715936552733183;0.003726652381010354;0.004514795169234275;0.0071266954764723795;0.01140208337455988
SparseH2;everywhere;H_LoopStructuralFDI0.780_SparseH2_error (m);-0.3091367483139038;0.2698010206222534;-0.023720844598285044;0.12044619663019247;-0.18094879686832427;-0.10345974564552306;-0.056920015066862104;-0.046639595180749886;-0.04309547320008278;-0.035178595781326295;0.010951080545783021;0.051365291699767134;0.17867927253246307
SparseH2;everywhere;H_LoopStructuralPLI0.780_SparseH2_error (m);-0.19695308804512024;0.22169288992881775;-0.007035150543238872;0.07664954900023542;-0.09432432055473328;-0.05926981195807457;-0.04048721119761468;-0.026732638850808142;-0.021213432773947716;-0.014593005646020174;0.003991663269698596;0.06778089404106148;0.1013312190771103
SparseH2;everywhere;H_MSSSparse_81x5x220.780_SparseH2_error (m);-0.02280842512845993;0.01640235260128975;-0.006777455969587395;0.010644013312203788;-0.01944543421268463;-0.017094857059419155;-0.014354428090155125;-0.012071113288402557;-0.009317382238805294;-0.0027777897892519833;-0.0017027296125888829;0.0009868405963061456;0.010515192896127706
SparseH2;everywhere;H_SIGMA_s100.780_SparseH2_error (m);-0.07941915094852448;0.11357411742210388;-0.0008129887115413671;0.029575005783380133;-0.0213259506970644;-0.016099713183939456;-0.013466211035847664;-0.006769600929692384;-0.004655829165130854;-0.0013400846626609585;0.0013697378803044545;0.014089839346706897;0.03429766818881036
SparseH2;everywhere;H_SIGMA_s120.780_SparseH2_error (m);-0.08448680490255356;0.11474383622407913;-0.0008087483768916622;0.029631064719293453;-0.025820892304182046;-0.015149517729878425;-0.012630378268659115;-0.00637704152613878;-0.0044698892161250114;-0.0012252665241248915;0.0015908455010503518;0.01620517559349538;0.031946437060832986
SparseH2;everywhere;H_SIGMA_s130.780_SparseH2_error (m);-0.09816939383745193;0.12951040267944336;-0.0019550702677242297;0.03628953271644957;-0.028323255851864813;-0.020623324811458586;-0.017621658369898797;-0.009461434371769427;-0.006239068694412708;-0.0027408296475186947;0.0006362644024193256;0.015808149334043273;0.04842910170555116
SparseH2;everywhere;H_StructLab_Axis0.780_SparseH2_error (m);-0.01583719253540039;0.007083998527377844;-0.0005974624078721334;0.00330836264077501;-0.0024035093374550343;-0.0012362899491563438;-0.0009462622227147221;-0.0006386930763255805;-0.0003769035392906517;-0.0000625733828201192;0.00021028899063821866;0.0005828684486914427;0.0021254137158393865
SparseH2;everywhere;H_StructLab_Basic0.780_SparseH2_error (m);-0.011728763580322266;0.005357169080525637;-0.0005073895987448214;0.002671511465292227;-0.002136120945215225;-0.0011939945048652588;-0.0006186369457282126;-0.00042633235279936337;-0.00019982436788268387;-0.00005609048857877503;0.00024331941385753432;0.0007189814466983081;0.001741657312959434
SparseH2;everywhere;H_SurfE_MQ0.611_SparseH2_error (m);-0.004971623420715332;0.004429929424077272;-0.00007033645519219267;0.001317162969332114;-0.0008752995054237545;-0.00045482899877242745;-0.0003624990524258465;-0.00028018531447742133;-0.00023116962984204292;-0.0001477102254284546;0.00001791569802662691;0.0004967356275301428;0.0011065419763326653
SparseH2;everywhere;H_SurfE_R32.250_SparseH2_error (m);-0.002162711229175329;0.003908457700163126;0.000006620864326808271;0.000831125208696628;-0.0006930145202204584;-0.0003798183053731918;-0.0002567908901255578;-0.00014323632058221844;-0.00006556559674208984;-0.000028357039991533386;0.0000694710470270365;0.00025628321745898577;0.0004767757956869904
SparseH4;everywhere;H_GemPy0.193_SparseH4_error (m);-0.005334747955203056;0.005367659498006105;-0.00019320040056217377;0.0023549498146873474;-0.003847693768329918;-0.002153136604465544;-0.0010620799264870586;-0.00024747972929617385;0.00013891289927414618;0.0003392696118680759;0.0012430882896296677;0.001863169332500548;0.002174453530460597
SparseH4;everywhere;H_LoopStructuralFDI1.900_SparseH4_error (m);-0.04283712059259415;0.004047030583024025;-0.020399980842987796;0.013012849527233058;-0.038047058135271074;-0.03140630014240742;-0.02704978585243225;-0.024730154685676096;-0.022680984809994698;-0.018828092329204082;-0.01084759132936597;-0.006835537729784841;-0.002378968530683775
SparseH4;everywhere;H_LoopStructuralPLI1.900_SparseH4_error (m);-0.05022568628191948;0.010777483694255352;-0.013502528695177964;0.01709000815984843;-0.03859883137047291;-0.028644530288875102;-0.02340548075735569;-0.019808542914688587;-0.013631667476147413;-0.004400128917768602;0.0008043497218750411;0.004684699932113292;0.007026114035397769
SparseH4;everywhere;H_MSSSparse_81x5x221.900_SparseH4_error (m);-0.02285102568566799;0.022600561380386353;0.008918006003982142;0.012000712830854136;-0.013444679602980611;0.005931514035910368;0.0083881258033216;0.010899149160832166;0.011737680062651634;0.014281052537262437;0.015417059510946275;0.016382137686014177;0.020318028517067436
SparseH4;everywhere;H_SIGMA_s101.900_SparseH4_error (m);-0.006922402884811163;0.0078247906640172;0.001590603582537204;0.003671248618488332;-0.0038847250165417787;-0.0011693347420077768;-0.00031528773833997556;0.0011023011640645564;0.001889091043267399;0.00225292791146785;0.0026158905122429113;0.005489836959168321;0.0069890241138637075
SparseH4;everywhere;H_SIGMA_s121.900_SparseH4_error (m);-0.006327351089566946;0.0075475480407476425;0.001224458050811253;0.0032915178622268605;-0.0033068667631596326;-0.001029643346555531;-0.00045542306615971035;0.0004163669858826333;0.0011009100126102567;0.0015171962790191172;0.002465063752606511;0.004621803015470509;0.006036412343382836
SparseH4;everywhere;H_SIGMA_s131.900_SparseH4_error (m);-0.009047354571521282;0.009381064213812351;0.0014650355246885738;0.004915526136037651;-0.005299444543197751;-0.0023112852242775255;-0.001022048405138776;0.0006757275084964933;0.0019712712382897735;0.0028597236378118396;0.003291150624863803;0.006449952628463513;0.008671521488577128
SparseH4;everywhere;H_StructLab_Axis1.900_SparseH4_error (m);-0.0019292078213766217;0.001176070305518806;-0.0000239145815819277;0.0004828960001099603;-0.0004989792476408183;-0.0001996611797949299;-0.00009787563831196166;-0.000051101057761115936;-0.000005133160357218003;0.00005301085257087833;0.0002559706597821786;0.0003137124091153965;0.0003981871210271493
SparseH4;everywhere;H_StructLab_Basic1.900_SparseH4_error (m);-0.0011503822170197964;0.0007861822377890348;-0.000025768923669809077;0.00035153836953511153;-0.00037592850276269013;-0.00017323469801340253;-0.00013797841384075583;-0.00005340543975762556;0.000026422410883242264;0.00005880189783056265;0.00014439847000176088;0.00026498125807847836;0.00031987458351068204
SparseH4;everywhere;H_SurfE_MQ0.293_SparseH4_error (m);-0.0004125350678805262;0.0005415700143203139;-0.00011554188553087774;0.00022309835994239514;-0.00030325527768582106;-0.00025249533646274356;-0.000228532831533812;-0.00019856437138514592;-0.0001797231670934707;-0.00013868552632629872;-0.00009953561020665806;-0.000029301572067197347;0.00011675052155624193
SparseH4;everywhere;H_SurfE_R31.607_SparseH4_error (m);-0.0002615182311274111;0.0006714679184369743;0.000005292710410225771;0.00015592580558514878;-0.0001536580137326382;-0.00009106053330469875;-0.000067823917925125;-0.00004280292305338662;-0.000013796194707538234;0.00001945888798218219;0.00004567117466649505;0.00006242768577067182;0.0001975475868675858
SparseH5;everywhere;H_GemPy0.203_SparseH5_error (m);-0.016399173066020012;0.009992038831114769;-0.0001833087524396322;0.005344148382874836;-0.006467224657535553;-0.003703285567462444;-0.002533193584531546;-0.001902182109188288;-0.0005121324793435633;0.0015226510586217041;0.0026228321250528095;0.0038456185488030367;0.007347391452640293
SparseH5;everywhere;H_LoopStructuralFDI2.500_SparseH5_error (m);-0.06464949250221252;0.05384400859475136;0.005266319102857534;0.0386663609202408;-0.04888449758291244;-0.04178322032094002;-0.025845781341195105;-0.00653766868636011;0.022762680426239967;0.03253524377942085;0.036370256543159486;0.041502053290605544;0.04919901862740517
SparseH5;everywhere;H_LoopStructuralPLI2.500_SparseH5_error (m);-0.048609595745801926;0.043001171201467514;0.00028506254709166726;0.024186232927888428;-0.033590579032897944;-0.03090054281055927;-0.008105417527258402;-0.002417982579208909;0.0028347184415906668;0.012099159695208072;0.01733123697340488;0.02091762050986291;0.026092528924345965
SparseH5;everywhere;H_MSSSparse_81x5x222.500_SparseH5_error (m);-0.00932224839925766;0.01039188914000988;0.0000020207511758000203;0.006238476971447463;-0.006995554734021425;-0.00623322851024568;-0.005048630572855473;-0.002481822599656877;-0.0011137279216200113;0.0011889591347426167;0.003695079404860734;0.007773779379203917;0.009139358438551425
SparseH5;everywhere;H_SIGMA_s102.500_SparseH5_error (m);-0.010395796038210392;0.01722640171647072;0.002786513276699158;0.005544302964187403;-0.003282424109056592;-0.0013290140661410981;-0.00039311469299718743;0.00032414674060419205;0.001851423759944737;0.003864268935285508;0.00493030771613121;0.007005177205428481;0.009377771988511086
SparseH5;everywhere;H_SIGMA_s122.500_SparseH5_error (m);-0.009385901503264904;0.014700731262564659;0.0023042828660236854;0.005037139213184872;-0.0034176930785179134;-0.0018950323108583686;-0.000631089601665736;0.0012466401210986084;0.0020468286238610744;0.0028416878310963505;0.00389888696372509;0.00540569080039859;0.008950525894761084
SparseH5;everywhere;H_SIGMA_s132.500_SparseH5_error (m);-0.015191040933132172;0.02052522823214531;0.002714642647954794;0.007267601377236167;-0.004828388430178165;-0.00292155803181231;-0.0013756879139691597;-0.00040976906602736526;0.0015820075059309602;0.00415146402083337;0.006880631763488054;0.008846029732376338;0.011329265125095843
SparseH5;everywhere;H_StructLab_Axis2.500_SparseH5_error (m);-0.0013694411609321833;0.0009009838104248047;-0.00002227557107711086;0.000568778096056609;-0.0008527602185495198;-0.00029197162657510487;-0.00017933874332811686;-0.00011611128138611084;-0.00004512862506089732;0.00011147369805257765;0.0003107589785940945;0.0005473304481711239;0.0006136387470178305
SparseH5;everywhere;H_StructLab_Basic2.500_SparseH5_error (m);-0.0011663903715088964;0.0018866435857489705;0.00002932833460984445;0.000553965411652678;-0.0006683114101178944;-0.0003239099169149994;-0.00016270256019197405;-0.000044524436816573075;0.00008863034599926323;0.00016787005733931434;0.0002376957738306373;0.00041773401899263294;0.0005453211604617533
SparseH5;everywhere;H_SurfE_MQ0.352_SparseH5_error (m);-0.0006137468153610826;0.0013794534606859088;0.00000985512154484906;0.00028220599923094766;-0.00020801904320251198;-0.00016451620758743956;-0.00012736045755445957;-0.00007151452373364001;-0.000023332326236413792;0.000023609166055393852;0.000123321998398751;0.00014456562348641455;0.0001932807179400697
SparseH5;everywhere;H_SurfE_R30.837_SparseH5_error (m);-0.0002811067388392985;0.001123485853895545;0.00001920264583354654;0.00023099107123098506;-0.00019991488370578735;-0.00015527949435636398;-0.00008232752006733791;-0.00005288378415571057;-0.0000060318793657643255;0.000023052990036376284;0.00008412658498855307;0.00014568824844900526;0.00020817649492528283
SparseH7;everywhere;H_GemPy0.175_SparseH7_error (m);-0.0167786106467247;0.011366850696504116;-0.0006941764126924191;0.0051669772751127985;-0.006931289751082658;-0.004677244182676076;-0.0030593839008361103;-0.002235402353107929;-0.0005603174213320017;0.0015599843347445129;0.002636889275163412;0.0035570890875533225;0.005144081450998785
SparseH7;everywhere;H_LoopStructuralFDI3.900_SparseH7_error (m);-0.11293434351682663;0.6188082098960876;0.05298508061985538;0.12734001115078877;-0.04908011630177497;-0.028016266040503977;0.003486308455467221;0.024118155427277087;0.03174905478954315;0.037645934894680974;0.054452680796384795;0.08073076084256173;0.16933164000511175
SparseH7;everywhere;H_LoopStructuralPLI3.900_SparseH7_error (m);-0.1458151638507843;0.2802754044532776;0.01871406341500036;0.057547333929567956;-0.024696086347103116;-0.014154236949980258;-0.0027007022872567185;0.013238700665533542;0.01785150170326233;0.02276473566889763;0.027001595124602318;0.040586734563112264;0.06780191063880923
SparseH7;everywhere;H_MSSSparse_81x5x223.900_SparseH7_error (m);-0.023217137902975082;0.02362900786101818;-0.0028237644357350395;0.01250811077237494;-0.018189441040158273;-0.011742350459098815;-0.00799971092492342;-0.006489613512530922;-0.005650602746754885;-0.004913509776815772;-0.000934906688053161;0.010998476017266546;0.018693261221051218
SparseH7;everywhere;H_SIGMA_s103.900_SparseH7_error (m);-0.03749128058552742;0.02188439853489399;0.003036384057911542;0.010412323719673152;-0.008980216830968855;-0.0004545244883047416;0.0014219600008800624;0.0029868977610021832;0.005038478411734104;0.005779244378209114;0.007420369237661361;0.010291264671832324;0.01369939409196377
SparseH7;everywhere;H_SIGMA_s123.900_SparseH7_error (m);-0.03713155910372734;0.023328488692641258;0.0029166998291647143;0.010516361021860548;-0.00749128246679902;-0.0006920468236785382;0.001839253818616271;0.0031097196275368336;0.003853496862575412;0.005562665732577443;0.006796338129788635;0.00950941061601043;0.014282033592462549
SparseH7;everywhere;H_SIGMA_s133.900_SparseH7_error (m);-0.04627260938286781;0.027460545301437378;0.0036975947681885065;0.012889397198664486;-0.012515485659241675;-0.0013855964876711368;0.0010257625719532369;0.003698118776082993;0.00579074677079916;0.006877476489171385;0.009201186522841453;0.012694014701992275;0.01782201752066613
SparseH7;everywhere;H_StructLab_Axis3.900_SparseH7_error (m);-0.0042449128814041615;0.004331131931394339;0.00014066193858177918;0.0010679123512340044;-0.0009186802199110389;-0.0006675083306618035;-0.0003805039974395186;-0.000010589149496809063;0.00019140219956170768;0.0004631821298971772;0.000632398878224194;0.0008750133332796398;0.0012905846815556288
SparseH7;everywhere;H_StructLab_Basic3.900_SparseH7_error (m);-0.0037223463878035545;0.0019423329504206777;0.00010726935209512182;0.0009018162907959382;-0.0009261263650842011;-0.00047660079144407064;-0.00021062178420834244;-0.00008262780211225607;0.0002461751864757389;0.0003906148718670011;0.0005403492017649113;0.0007540723308920861;0.0011343070538714529
SparseH7;everywhere;H_SurfE_MQ0.176_SparseH7_error (m);-0.001226164516992867;0.002141055418178439;0.00006073555429405163;0.0004174699197359114;-0.00031600364018231626;-0.00018279563228134065;-0.00006266295531531797;0.000014342578560899722;0.00006285664858296514;0.00009663665769039653;0.00012271715240785852;0.00021036918769823393;0.0005258552962914114
SparseH7;everywhere;H_SurfE_R30.466_SparseH7_error (m);-0.00048154874821193516;0.0021943356841802597;0.00000372405112214979;0.0004055223310197169;-0.0002982005593366921;-0.00021198255853960288;-0.0001742959429975599;-0.0001315456291195005;-0.00009957553265849128;-0.00004329775620135479;-0.000006695536649203873;0.00013941368670202794;0.0004097916709724823
SparseH9;everywhere;H_GemPy0.156_SparseH9_error (m);-0.05665155500173569;0.054155997931957245;0.0001546784860693151;0.01424177598799041;-0.008827690873295067;-0.00584343005903065;-0.003979871701449156;-0.002787093515507876;-0.001654529885854572;-0.00009557814482832418;0.0035986017668619688;0.005227415310218931;0.01172937657684089
SparseH9;everywhere;H_LoopStructuralFDI5.200_SparseH9_error (m);-0.7551013827323914;0.035488005727529526;-0.1513122897216211;0.2252033951021423;-0.575736653804779;-0.36364469230175;-0.07951928824186327;-0.0660970076918602;-0.05723416246473789;-0.04124815091490748;-0.028149359673261643;-0.009355033561587324;0.009182246122509247
SparseH9;everywhere;H_LoopStructuralPLI5.200_SparseH9_error (m);-0.4257012903690338;0.09157928079366684;-0.059851742612712165;0.1070990272668053;-0.261575673520565;-0.06332481056451797;-0.03756214268505573;-0.02934759724885225;-0.022345149889588356;-0.014669738989323378;-0.009274874348193424;-0.0031686044530943036;0.005134612461552034
SparseH9;everywhere;H_MSSSparse_81x5x225.200_SparseH9_error (m);-0.03867391496896744;0.02300911769270897;0.009983104018222852;0.012986357196773124;-0.013550602761097241;0.009962735790759325;0.011954759899526834;0.013239990361034872;0.014680897817015648;0.015521508920937776;0.01602533422410488;0.01672400366514921;0.01804013382643461
SparseH9;everywhere;H_SIGMA_s105.200_SparseH9_error (m);-0.10493596643209457;0.2362089902162552;0.0025179049735015724;0.05792739740113803;-0.06452009417116641;-0.007138766534626482;-0.004152582632377744;-0.002825277228839695;-0.0018101056339219213;-0.00012329593882896055;0.0015131187275983355;0.004905796796083453;0.0326174335554243
SparseH9;everywhere;H_SIGMA_s125.200_SparseH9_error (m);-0.1005680039525032;0.16124171018600464;-0.0027955647025616295;0.040166338621642025;-0.05182826779782772;-0.00987633680924773;-0.006397685874253512;-0.0029885665047913786;-0.0006983045896049589;0.00028155977779533684;0.0018635518965311284;0.004007623763754967;0.033489661104977225
SparseH9;everywhere;H_SIGMA_s135.200_SparseH9_error (m);-0.1264425814151764;0.2841598093509674;0.0016840751662433224;0.07237435624195823;-0.09483031183481216;-0.009181118384003636;-0.005227099638432264;-0.004292217176407575;-0.0022336922120302916;-0.00042689146648626844;0.0018310158280655693;0.006502538872882725;0.040566877555102215
SparseH9;everywhere;H_StructLab_Axis5.200_SparseH9_error (m);-0.007649674080312252;0.04760034754872322;0.0006024036338961499;0.0072541014646601044;-0.003253191569820045;-0.0008377503312658516;-0.0006195944268256427;-0.0002485653691110199;0.000025021729015861638;0.0001376110441924536;0.0004746359831187874;0.0007562212063930932;0.0021876228041946915
SparseH9;everywhere;H_StructLab_Basic5.200_SparseH9_error (m);-0.007158563006669283;0.003623375203460455;-0.00038605947156611364;0.0018947247568401045;-0.002774133859202265;-0.0013042366947047406;-0.00043557855242397657;-0.0002617433812702074;-0.00018773067859001458;0.00010610460522002533;0.00030981929448898883;0.0007123988703824584;0.0011759516957681637
SparseH9;everywhere;H_SurfE_MQ0.057_SparseH9_error (m);-0.005543658044189215;0.002458582865074277;-0.00023116628667925929;0.0013164749748922218;-0.0018438444472849368;-0.00024375780631089575;-0.00009028792410390459;-0.000007844111541999143;0.000029046192139503546;0.00005718996180803512;0.00013098831259412684;0.00021391007176134745;0.0005205476772971452
SparseH9;everywhere;H_SurfE_R30.175_SparseH9_error (m);-0.0023509045131504536;0.002088089007884264;-0.00006026516685627333;0.0007377846150542471;-0.0008235456218244504;-0.00032153362990356983;-0.0002145979073247873;-0.00012499939766712478;-0.00009457616761210375;-0.000021151604778424383;0.000005650620369124166;0.00017841837761807303;0.0007546612760052095
